Player,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),HSD (m),HSD Ratio
Leo,9/6 Game 1,370.0,6.0,52.857142857142854,6.8,10.0,0.02702702702702703
Leo,9/6 Game 2,490.0,6.0,61.25,7.3,7.0,0.014285714285714285
Leo,9/6 Game 3,390.0,6.0,65.0,8.4,17.0,0.04358974358974359
Leo,9/6 Game 4,770.0,6.0,59.23076923076923,8.1,10.0,0.012987012987012988
Leo,9/6 Game Total,2020.0,6.0,59.411764705882355,8.4,44.0,0.02178217821782178
Jason,3/29 Training 1,2290.0,6.0,55.853658536585364,5.8,0.0,0.0
Jason,3/29 Training 2,720.0,6.0,48.0,6.4,2.0,0.002777777777777778
Jason,3/29 Training 3,830.0,6.0,59.285714285714285,8.2,47.0,0.056626506024096385
Jason,3/29 Training 4,1240.0,6.0,59.04761904761905,6.5,2.0,0.0016129032258064516
Jason,3/29 Training 5,810.0,6.0,62.30769230769231,6.2,2.0,0.0024691358024691358
Jason,3/29 Training 6,500.0,6.0,62.5,5.9,0.0,0.0
Jason,3/29 Training Total,6390.0,6.0,57.05357142857143,8.2,53.0,0.008294209702660408
Jason,3/29 Game 1,480.0,6.0,80.0,6.1,4.0,0.008333333333333333
Jason,3/29 Game 2,510.0,6.0,72.85714285714286,7.6,12.0,0.023529411764705882
Jason,3/29 Game Total,990.0,6.0,76.15384615384616,7.6,16.0,0.01616161616161616
Jason,4/19 Training Total,890.0,7.0,55.625,8.5,9.0,0.010112359550561797
Jason,4/19 Game 1,500.0,7.0,83.33333333333333,8.0,12.0,0.024
Jason,4/19 Game 2,500.0,7.0,83.33333333333333,7.8,7.0,0.014
Jason,4/19 Game 3,470.0,7.0,78.33333333333333,8.7,37.0,0.07872340425531915
Jason,4/19 Game 4,510.0,7.0,72.85714285714286,6.7,1.0,0.00196078431372549
Jason,4/19 Game 5,490.0,7.0,70.0,4.8,0.0,0.0
Jason,4/19 Game 6,450.0,7.0,75.0,7.0,20.0,0.044444444444444446
Jason,4/19 Game Total,3810.0,5.0,70.55555555555556,8.7,86.0,0.02257217847769029
Jason,5/10 Training 1,330.0,5.0,55.0,5.3,0.0,0.0
Jason,5/10 Training 2,510.0,5.0,63.75,5.8,0.0,0.0
Jason,5/10 Training 3,730.0,5.0,45.625,6.2,1.0,0.0013698630136986301
Jason,5/10 Training 4,610.0,5.0,50.833333333333336,6.1,1.0,0.001639344262295082
Jason,5/10 Training 5,540.0,5.0,49.09090909090909,6.5,8.0,0.014814814814814815
Jason,5/10 Training 6,550.0,5.0,50.0,6.5,20.0,0.03636363636363636
Jason,5/10 Training 7,1780.0,5.0,55.625,7.5,5.0,0.0028089887640449437
Jason,5/10 Training Total,5050.0,5.0,52.604166666666664,7.5,35.0,0.006930693069306931
Jason,5/10 Game 1,310.0,6.0,77.5,8.7,14.0,0.04516129032258064
Jason,5/10 Game 2,260.0,6.0,65.0,6.0,0.0,0.0
Jason,5/10 Game 3,360.0,6.0,72.0,7.3,5.0,0.013888888888888888
Jason,5/10 Game Total,930.0,6.0,71.53846153846153,8.7,19.0,0.02043010752688172
Jason,5/31 Training 1,620.0,5.0,51.666666666666664,4.8,0.0,0.0
Jason,5/31 Training 2,840.0,5.0,46.666666666666664,6.7,1.0,0.0011904761904761906
Jason,5/31 Training 3,450.0,5.0,45.0,5.5,0.0,0.0
Jason,5/31 Training 4,700.0,5.0,43.75,5.0,0.0,0.0
Jason,5/31 Training 5,520.0,5.0,57.77777777777778,6.5,5.0,0.009615384615384616
Jason,5/31 Training 6,510.0,5.0,51.0,6.6,6.0,0.011764705882352941
Jason,5/31 Training 7,660.0,5.0,55.0,5.8,0.0,0.0
Jason,5/31 Training 8,360.0,5.0,60.0,5.7,0.0,0.0
Jason,5/31 Training Total,4660.0,5.0,50.10752688172043,6.7,12.0,0.002575107296137339
Jason,7/12 Training 1,330.0,5.0,41.25,4.8,0.0,0.0
Jason,7/12 Training 2,810.0,6.0,50.625,6.1,1.0,0.0012345679012345679
Jason,7/12 Training 3,660.0,8.0,66.0,7.7,35.0,0.05303030303030303
Jason,7/12 Training 4,660.0,8.0,50.76923076923077,5.5,0.0,0.0
Jason,7/12 Training 5,660.0,7.0,47.142857142857146,5.4,0.0,0.0
Jason,7/12 Training 6,590.0,7.0,42.142857142857146,5.8,0.0,0.0
Jason,7/12 Training 7,360.0,8.0,51.42857142857143,5.3,0.0,0.0
Jason,7/12 Training Total,4070.0,7.0,49.63414634146341,7.7,36.0,0.008845208845208846
Jason,8/23 Training 1,570.0,6.0,63.333333333333336,5.8,0.0,0.0
Jason,8/23 Training 2,450.0,6.0,45.0,5.8,0.0,0.0
Jason,8/23 Training 3,370.0,6.0,52.857142857142854,6.6,3.0,0.008108108108108109
Jason,8/23 Training 4,400.0,6.0,44.44444444444444,3.5,0.0,0.0
Jason,8/23 Training 5,430.0,6.0,39.09090909090909,3.4,0.0,0.0
Jason,8/23 Training 6,430.0,6.0,47.77777777777778,7.6,15.0,0.03488372093023256
Jason,8/23 Training 7,350.0,6.0,43.75,5.6,0.0,0.0
Jason,8/23 Training 8,440.0,6.0,44.0,6.0,1.0,0.0022727272727272726
Jason,8/23 Training 9,280.0,6.0,40.0,4.5,0.0,0.0
Jason,8/23 Training Total,3720.0,6.0,46.5,7.6,19.0,0.00510752688172043
Jason,9/6 corner passing shoot,610.0,6.0,50.833333333333336,6.5,1.0,0.001639344262295082
Jason,9/6 passing shoot,740.0,6.0,49.333333333333336,7.5,4.0,0.005405405405405406
Jason,9/6 man down offense 1,510.0,6.0,56.666666666666664,7.3,12.0,0.023529411764705882
Jason,9/6 man down offense 2,500.0,6.0,55.55555555555556,5.8,0.0,0.0
Jason,9/6 5v5,400.0,6.0,57.142857142857146,6.2,1.0,0.0025
